[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	2400 seconds
[runlim] space limit:		8192 MB
[runlim] argv[0]:		Probab.native
[runlim] argv[1]:		-single
[runlim] argv[2]:		-domain
[runlim] argv[3]:		polyhedra
[runlim] argv[4]:		/experiments/benchmarks-dimovski/Problem10_16.c
[runlim] start:			Wed Dec  2 18:30:49 2020
[runlim] main pid:		204
[runlim] sample:		10.0 time, 10.8 real, 259.5 MB
[runlim] sample:		20.0 time, 20.8 real, 641.9 MB
[runlim] sample:		30.0 time, 30.8 real, 641.9 MB
[runlim] sample:		40.0 time, 40.8 real, 641.9 MB
[runlim] sample:		50.0 time, 50.8 real, 641.9 MB
[runlim] sample:		60.0 time, 60.8 real, 641.9 MB
[runlim] sample:		70.0 time, 70.8 real, 1790.6 MB
[runlim] sample:		80.0 time, 80.8 real, 1790.6 MB
[runlim] sample:		90.0 time, 90.8 real, 1790.3 MB
[runlim] sample:		99.9 time, 100.8 real, 1790.3 MB
[runlim] sample:		109.9 time, 110.8 real, 1790.3 MB
[runlim] sample:		119.9 time, 120.8 real, 1790.3 MB
[runlim] sample:		129.9 time, 130.8 real, 1790.3 MB
[runlim] sample:		139.9 time, 140.8 real, 1790.3 MB
[runlim] sample:		149.9 time, 150.8 real, 1790.3 MB
[runlim] sample:		159.9 time, 160.8 real, 1790.3 MB
[runlim] sample:		169.9 time, 170.8 real, 1790.3 MB
[runlim] sample:		179.9 time, 180.8 real, 1790.3 MB
[runlim] sample:		189.9 time, 190.8 real, 1790.3 MB
[runlim] sample:		199.9 time, 200.8 real, 1790.3 MB
[runlim] sample:		209.9 time, 210.8 real, 1790.3 MB
[runlim] sample:		219.9 time, 220.8 real, 1790.3 MB
[runlim] sample:		229.9 time, 230.8 real, 1790.3 MB
[runlim] sample:		239.9 time, 240.8 real, 1790.3 MB
[runlim] sample:		249.9 time, 250.8 real, 1790.3 MB
[runlim] sample:		259.9 time, 260.8 real, 1790.3 MB
[runlim] sample:		269.9 time, 270.8 real, 1790.3 MB
[runlim] sample:		279.9 time, 280.8 real, 1790.3 MB
[runlim] sample:		289.9 time, 290.8 real, 1790.3 MB
[runlim] sample:		299.9 time, 300.8 real, 1790.3 MB
[runlim] sample:		309.9 time, 310.8 real, 1790.3 MB
[runlim] sample:		319.9 time, 320.8 real, 1790.3 MB
[runlim] sample:		329.9 time, 330.8 real, 2063.8 MB
[runlim] sample:		339.9 time, 340.8 real, 2063.8 MB
[runlim] sample:		349.9 time, 350.8 real, 2063.8 MB
[runlim] sample:		359.9 time, 360.8 real, 2066.4 MB
[runlim] sample:		369.9 time, 370.8 real, 2066.4 MB
[runlim] sample:		379.9 time, 380.8 real, 2066.4 MB
[runlim] sample:		389.9 time, 390.8 real, 2066.4 MB
[runlim] sample:		399.9 time, 400.8 real, 2066.4 MB
[runlim] sample:		409.9 time, 410.8 real, 2066.4 MB
[runlim] sample:		419.9 time, 420.8 real, 2066.4 MB
[runlim] sample:		429.9 time, 430.8 real, 2066.4 MB
[runlim] sample:		439.9 time, 440.8 real, 2066.4 MB
[runlim] sample:		449.9 time, 450.8 real, 2066.4 MB
[runlim] sample:		459.9 time, 460.8 real, 2066.4 MB
[runlim] sample:		469.9 time, 470.8 real, 2066.4 MB
[runlim] sample:		479.9 time, 480.8 real, 2066.4 MB
[runlim] sample:		489.9 time, 490.8 real, 2066.4 MB
[runlim] sample:		499.9 time, 500.8 real, 2066.4 MB
[runlim] sample:		509.9 time, 510.8 real, 2066.4 MB
[runlim] sample:		519.9 time, 520.8 real, 2066.4 MB
[runlim] sample:		529.9 time, 530.8 real, 2066.4 MB
[runlim] sample:		539.9 time, 540.8 real, 2066.4 MB
[runlim] sample:		549.9 time, 550.8 real, 2064.0 MB
[runlim] sample:		559.9 time, 560.8 real, 2338.8 MB
[runlim] sample:		569.9 time, 570.8 real, 2338.8 MB
[runlim] sample:		579.9 time, 580.8 real, 2341.4 MB
[runlim] sample:		589.9 time, 590.8 real, 2341.4 MB
[runlim] sample:		599.9 time, 600.8 real, 2341.4 MB
[runlim] sample:		609.9 time, 610.8 real, 2341.4 MB
[runlim] sample:		619.9 time, 620.8 real, 2341.4 MB
[runlim] sample:		629.9 time, 630.8 real, 2341.4 MB
[runlim] sample:		639.9 time, 640.8 real, 2341.4 MB
[runlim] sample:		649.9 time, 650.8 real, 2341.4 MB
[runlim] sample:		659.9 time, 660.8 real, 2341.4 MB
[runlim] sample:		669.9 time, 670.8 real, 2341.4 MB
[runlim] sample:		679.9 time, 680.8 real, 2341.4 MB
[runlim] sample:		689.9 time, 690.8 real, 2341.4 MB
[runlim] sample:		699.9 time, 700.8 real, 2341.4 MB
[runlim] sample:		709.9 time, 710.8 real, 2341.4 MB
[runlim] sample:		719.9 time, 720.8 real, 2341.4 MB
[runlim] sample:		729.9 time, 730.8 real, 2341.4 MB
[runlim] sample:		739.9 time, 740.8 real, 2341.4 MB
[runlim] sample:		749.9 time, 750.8 real, 2341.4 MB
[runlim] sample:		759.9 time, 760.8 real, 2341.4 MB
[runlim] sample:		769.9 time, 770.8 real, 2339.1 MB
[runlim] sample:		779.9 time, 780.8 real, 2339.0 MB
[runlim] sample:		789.9 time, 790.8 real, 2473.1 MB
[runlim] sample:		799.9 time, 800.8 real, 3053.1 MB
[runlim] sample:		809.9 time, 810.8 real, 2761.4 MB
[runlim] sample:		819.9 time, 820.8 real, 2761.4 MB
[runlim] sample:		829.9 time, 830.8 real, 2761.4 MB
[runlim] sample:		839.9 time, 840.8 real, 2761.4 MB
[runlim] sample:		849.9 time, 850.8 real, 2761.4 MB
[runlim] sample:		859.9 time, 860.8 real, 3143.2 MB
[runlim] sample:		869.9 time, 870.8 real, 3418.1 MB
[runlim] sample:		879.9 time, 880.8 real, 3695.5 MB
[runlim] sample:		889.9 time, 890.8 real, 3968.0 MB
[runlim] sample:		899.9 time, 900.8 real, 3968.0 MB
[runlim] sample:		909.9 time, 910.8 real, 3968.0 MB
[runlim] sample:		919.9 time, 920.8 real, 3968.0 MB
[runlim] sample:		929.9 time, 930.8 real, 3695.2 MB
[runlim] sample:		939.8 time, 940.8 real, 3695.2 MB
[runlim] sample:		949.8 time, 950.8 real, 3695.2 MB
[runlim] sample:		959.8 time, 960.8 real, 3695.2 MB
[runlim] sample:		969.8 time, 970.8 real, 3695.2 MB
[runlim] sample:		979.8 time, 980.8 real, 3695.2 MB
[runlim] sample:		989.8 time, 990.8 real, 3695.2 MB
[runlim] sample:		999.8 time, 1000.8 real, 3695.2 MB
[runlim] sample:		1009.8 time, 1010.8 real, 3695.2 MB
[runlim] sample:		1019.8 time, 1020.8 real, 3695.2 MB
[runlim] sample:		1029.8 time, 1030.8 real, 3695.2 MB
[runlim] sample:		1039.8 time, 1040.8 real, 3695.2 MB
[runlim] sample:		1049.8 time, 1050.8 real, 3695.2 MB
[runlim] sample:		1059.8 time, 1060.8 real, 3695.2 MB
[runlim] sample:		1069.8 time, 1070.8 real, 3695.2 MB
[runlim] sample:		1079.8 time, 1080.8 real, 3695.2 MB
[runlim] sample:		1089.8 time, 1090.8 real, 3695.2 MB
[runlim] sample:		1099.8 time, 1100.8 real, 3695.2 MB
