[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	2400 seconds
[runlim] space limit:		2048 MB
[runlim] argv[0]:		Probab.native
[runlim] argv[1]:		-single
[runlim] argv[2]:		-domain
[runlim] argv[3]:		polyhedra
[runlim] argv[4]:		/experiments/benchmarks-dimovski/Problem13_4.c
[runlim] start:			Fri Nov 20 17:45:10 2020
[runlim] main pid:		210
[runlim] sample:		10.0 time, 10.9 real, 306.4 MB
[runlim] sample:		19.9 time, 20.9 real, 386.3 MB
[runlim] sample:		29.9 time, 30.9 real, 488.9 MB
[runlim] sample:		40.0 time, 40.9 real, 540.5 MB
[runlim] sample:		50.0 time, 50.9 real, 540.5 MB
[runlim] sample:		60.0 time, 60.9 real, 615.0 MB
[runlim] sample:		70.0 time, 70.9 real, 615.0 MB
[runlim] sample:		80.0 time, 80.9 real, 593.4 MB
[runlim] sample:		90.0 time, 90.9 real, 593.4 MB
[runlim] sample:		100.0 time, 100.9 real, 662.5 MB
[runlim] sample:		110.0 time, 110.9 real, 662.5 MB
[runlim] sample:		119.9 time, 120.9 real, 675.4 MB
[runlim] sample:		129.9 time, 130.9 real, 700.2 MB
[runlim] sample:		139.9 time, 140.9 real, 700.2 MB
[runlim] sample:		149.9 time, 150.9 real, 675.7 MB
[runlim] sample:		159.9 time, 160.9 real, 724.7 MB
[runlim] sample:		169.9 time, 170.9 real, 786.8 MB
[runlim] sample:		179.9 time, 180.9 real, 786.8 MB
[runlim] sample:		189.9 time, 190.9 real, 822.4 MB
[runlim] sample:		199.9 time, 200.9 real, 846.4 MB
[runlim] sample:		209.9 time, 210.9 real, 846.4 MB
[runlim] sample:		219.9 time, 220.9 real, 913.9 MB
[runlim] sample:		229.9 time, 230.9 real, 913.9 MB
[runlim] sample:		239.9 time, 240.9 real, 960.1 MB
[runlim] sample:		249.9 time, 250.9 real, 989.5 MB
[runlim] sample:		259.9 time, 260.9 real, 989.5 MB
[runlim] sample:		269.9 time, 270.9 real, 994.9 MB
[runlim] sample:		279.9 time, 280.9 real, 1033.0 MB
[runlim] sample:		289.9 time, 290.9 real, 1143.6 MB
[runlim] sample:		299.9 time, 300.9 real, 1143.6 MB
[runlim] sample:		309.9 time, 310.9 real, 1168.4 MB
[runlim] sample:		319.9 time, 320.9 real, 1241.1 MB
[runlim] sample:		329.9 time, 330.9 real, 1241.1 MB
[runlim] sample:		339.9 time, 340.9 real, 1313.3 MB
[runlim] sample:		349.9 time, 350.9 real, 1346.5 MB
[runlim] sample:		359.9 time, 360.9 real, 1346.5 MB
[runlim] sample:		369.9 time, 370.9 real, 1375.2 MB
[runlim] sample:		379.9 time, 380.9 real, 1389.9 MB
[runlim] sample:		389.9 time, 390.9 real, 1467.5 MB
[runlim] sample:		399.9 time, 400.9 real, 1467.5 MB
[runlim] sample:		409.9 time, 410.9 real, 1574.4 MB
[runlim] sample:		419.9 time, 420.9 real, 1652.3 MB
[runlim] sample:		429.9 time, 430.9 real, 1674.7 MB
[runlim] sample:		439.9 time, 440.9 real, 1808.3 MB
[runlim] sample:		449.9 time, 450.9 real, 1844.9 MB
[runlim] sample:		459.9 time, 460.9 real, 1844.9 MB
[runlim] sample:		469.9 time, 470.9 real, 1895.4 MB
[runlim] sample:		479.9 time, 480.9 real, 1900.6 MB
[runlim] sample:		489.9 time, 490.9 real, 2009.6 MB
[runlim] sample:		499.9 time, 500.9 real, 2009.6 MB
[runlim] end:			Fri Nov 20 17:53:36 2020
[runlim] status:		out of memory
[runlim] result:		3
[runlim] children:		0
[runlim] real:			506.79 seconds
[runlim] time:			505.70 seconds
[runlim] space:			2065.6 MB
[runlim] samples:		5058
